Sentence,Type,Factual/Subjective,Sentiment
"The sky is blue.",Affirmation,Factual,Neutral
"I love sunny days!",Affirmation,Subjective,Happiness
"This pizza is disgusting.",Affirmation,Subjective,Anger
"Water boils at 100 degrees Celsius.",Affirmation,Factual,Neutral
"I don't think this is a good idea.",Negation,Subjective,Sadness
"She never comes to meetings on time.",Negation,Factual,Anger
"This is the best book I've ever read!",Affirmation,Subjective,Euphoria
"I don't believe in ghosts.",Negation,Factual,Neutral
"I can't wait to see you!",Negation,Subjective,Happiness
"I'm not sure if I can make it.",Negation,Subjective,Sadness
"I think I'm going to be sick.",Affirmation,Subjective,Anger
"I'm not going to the party.",Negation,Subjective,Sadness
"I'm so excited for the concert!",Affirmation,Subjective,Euphoria
"I'm not going to the beach.",Negation,Subjective,Sadness
"I think I'm going to pass out.",Affirmation,Subjective,Anger
"I'm not going to the movies.",Negation,Subjective,Sadness
"I'm so happy to see you!",Affirmation,Subjective,Happiness
"The stars twinkle in the night sky.",Affirmation,Factual,Neutral
"I don't like loud music.",Negation,Subjective,Anger
"That roller coaster was incredible!",Affirmation,Subjective,Euphoria
"Water freezes at 0 degrees Celsius.",Affirmation,Factual,Neutral
"I hate missing the bus.",Affirmation,Subjective,Anger
"Chocolate tastes amazing.",Affirmation,Subjective,Happiness
"The Earth orbits the Sun.",Affirmation,Factual,Neutral
"I can't stand the rain.",Negation,Subjective,Sadness
"Sunsets are beautiful.",Affirmation,Subjective,Happiness
"Gravity pulls objects toward the Earth.",Affirmation,Factual,Neutral
"Traffic jams are frustrating.",Affirmation,Subjective,Anger
"Plants need sunlight to grow.",Affirmation,Factual,Neutral
"I don't enjoy crowded places.",Negation,Subjective,Anger
"Pizza is delicious.",Affirmation,Subjective,Happiness
"Winter nights are long.",Affirmation,Factual,Neutral
"I miss my friends.",Affirmation,Subjective,Sadness
"Exercise is good for health.",Affirmation,Factual,Neutral
"I'm not a fan of spicy food.",Negation,Subjective,Anger
"Books can be very entertaining.",Affirmation,Subjective,Happiness
"Rainy days make me sad.",Affirmation,Subjective,Sadness
"Birds can fly.",Affirmation,Factual,Neutral
"I love going to the beach.",Affirmation,Subjective,Happiness
"The moon shines at night.",Affirmation,Factual,Neutral
"Rude people are annoying.",Affirmation,Subjective,Anger
"Spring flowers bloom beautifully.",Affirmation,Factual,Neutral
"I can't sleep without a pillow.",Negation,Subjective,Neutral
"The internet is full of information.",Affirmation,Factual,Neutral
"I detest waking up early.",Negation,Subjective,Anger
"Summer is my favorite season.",Affirmation,Subjective,Happiness
"Diamonds are the hardest natural material.",Affirmation,Factual,Neutral
"I don't trust strangers easily.",Negation,Subjective,Neutral
"Music can lift my mood.",Affirmation,Subjective,Happiness
"Computers help us work faster.",Affirmation,Factual,Neutral
"I can't bear the cold.",Negation,Subjective,Sadness
"Learning new things is exciting.",Affirmation,Subjective,Happiness
"The ocean is vast and deep.",Affirmation,Factual,Neutral
"I don't like dishonest people.",Negation,Subjective,Anger
"Cooking is a fun activity.",Affirmation,Subjective,Happiness
"Thunderstorms can be scary.",Affirmation,Subjective,Anger
"Books are a source of knowledge.",Affirmation,Factual,Neutral
"I hate missing deadlines.",Affirmation,Subjective,Anger
"Technology is constantly evolving.",Affirmation,Factual,Neutral
"I'm not fond of insects.",Negation,Subjective,Neutral
"Traveling broadens the mind.",Affirmation,Subjective,Happiness
"Milk is a good source of calcium.",Affirmation,Factual,Neutral
"I can't stand noisy environments.",Negation,Subjective,Anger
"Art is a form of expression.",Affirmation,Factual,Neutral
"Procrastination is a bad habit.",Affirmation,Subjective,Anger
"I love my family.",Affirmation,Subjective,Happiness
"The stars twinkle in the night sky.",Affirmation,Factual,Neutral
"I don't like loud music.",Negation,Subjective,Anger
"That roller coaster was incredible!",Affirmation,Subjective,Euphoria
